Accession	Location	Organism	Specimen_Voucher	Isolate	Gcode	Country	Lat_lon	Collection_date	Collected_by	Tech
gbKY127433.1	mitochondrion	Ischnura_elegans		2	5					
gbKY127439.1	mitochondrion	Ischnura_elegans		8	5					
gbKY127437.1	mitochondrion	Ischnura_elegans		6	5					
gbKY127432.1	mitochondrion	Ischnura_elegans		1	5					
gbMN701555.1	mitochondrion	Ischnura_genei	MT81_Igen_2018_3		5	Malta:_Malta_Island,_Il-Maghluqa_ta'_Marsascala	35.8621_N	16-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbMN701542.1	mitochondrion	Ischnura_genei	MT1_Igen_2018_3		5	Malta:_Malta_Island,_Wied_Ghajn_Rihana	35.9187_N	04-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbMN701541.1	mitochondrion	Ischnura_genei	MT44_Igen_2018_1		5	Malta:_Gozo_Island,_Il-Qattara	36.051_N	10-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbMN701537.1	mitochondrion	Ischnura_genei	MT56_Igen_2018_4		5	Malta:_Gozo_Island,_Il-Fekruna	36.033_N	11-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbMN701532.1	mitochondrion	Ischnura_genei	MT81_Igen_2018_2		5	Malta:_Malta_Island,_Il-Maghluqa_ta'_Marsascala	35.8621_N	16-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbMN701521.1	mitochondrion	Ischnura_genei	MT56_Igen_2018_2		5	Malta:_Gozo_Island,_Il-Fekruna	36.033_N	11-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbMN701519.1	mitochondrion	Ischnura_genei	MT81_Igen_2018_5		5	Malta:_Malta_Island,_Il-Maghluqa_ta'_Marsascala	35.8621_N	16-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbMN701493.1	mitochondrion	Ischnura_genei	MT59_Igen_2018_6		5	Malta:_Gozo_Island,_Il-Wied_ta'_Marsalforn	36.0497_N	12-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbMN701491.1	mitochondrion	Ischnura_genei	MT59_Igen_2018_4		5	Malta:_Gozo_Island,_Il-Wied_ta'_Marsalforn	36.0497_N	12-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbMN701487.1	mitochondrion	Ischnura_genei	MT81_Igen_2018_1		5	Malta:_Malta_Island,_Il-Maghluqa_ta'_Marsascala	35.8621_N	16-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbMN701481.1	mitochondrion	Ischnura_genei	MT59_Igen_2018_2		5	Malta:_Gozo_Island,_Il-Wied_ta'_Marsalforn	36.0497_N	12-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbMN701543.1	mitochondrion	Ischnura_genei	MT56_Igen_2018_1		5	Malta:_Gozo_Island,_Il-Fekruna	36.033_N	11-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbKY127438.1	mitochondrion	Ischnura_elegans		7	5					
gbMK951668.1	mitochondrion	Ischnura_elegans			5					
gbKY127434.1	mitochondrion	Ischnura_elegans		3	5					
