loci	H_st	D_st	G_st	G_hed_st	D_jost	
Locus1	0.0659	0.0224	0.0328	0.1093	0.0791	
Locus2	0.0058	0.0029	0.0058	0.0127	0.007	
Locus3	0.3887	0.0647	0.0721	0.5049	0.4664	
Locus4	0.0882	0.029	0.0415	0.1429	0.1058	
Locus5	0.2683	0.0266	0.0287	0.3414	0.3219	
Locus6	0.1536	0.0306	0.0368	0.2143	0.1843	
Locus7	0.0533	0.0202	0.0315	0.0935	0.064	
Locus8	0.0255	0.0192	0.0724	0.1008	0.0306	
Locus9	0.3616	0.0244	0.0255	0.4484	0.434	
Locus10	0.3585	0.0522	0.0576	0.463	0.4302	
Locus11	0.0664	0.0153	0.0195	0.0976	0.0797	
Locus12	0.4335	0.0422	0.0446	0.5416	0.5202	
Locus13	0.396	0.1112	0.1339	0.5455	0.4752	
Locus14	0.2293	0.032	0.0358	0.3011	0.2752	
Locus15	0.0725	0.0333	0.0579	0.1399	0.087	
Locus16	0.4449	0.0836	0.0934	0.5774	0.5339	
Locus17	0.0643	0.0239	0.0367	0.1111	0.0772	
Locus18	0.3805	0.0305	0.0321	0.4741	0.4566	
Locus19	0.3898	0.0375	0.0399	0.489	0.4678	
Locus20	0.3561	0.0357	0.0381	0.4491	0.4273	
Locus21	0.1026	0.0325	0.0453	0.1629	0.1232	
Locus22	0.2273	0.0306	0.0341	0.2976	0.2728	
Locus23	0.3029	0.0845	0.1049	0.4302	0.3634	
Locus24	0.2118	0.0515	0.0638	0.3017	0.2542	
Locus25	0.1568	0.0545	0.077	0.2507	0.1881	
Locus26	0.0671	0.0316	0.0564	0.1323	0.0805	
Locus27	0.1708	0.032	0.0379	0.2351	0.2049	
Locus28	0.0552	0.0292	0.0584	0.1208	0.0662	
Locus29	0.259	0.0319	0.0351	0.335	0.3108	
Locus30	0.1571	0.0363	0.045	0.2251	0.1886	
Locus31	0.3921	0.0392	0.0418	0.4926	0.4705	
Locus32	0.6745	0.0333	0.0338	0.8159	0.8095	
Locus33	0.4057	0.0336	0.0354	0.505	0.4869	
Locus34	0.2801	0.0752	0.0932	0.398	0.3361	
Locus35	0.0503	0.0235	0.0422	0.1	0.0603	
Locus36	0.1777	0.0383	0.0466	0.2499	0.2133	
Locus37	0.0343	0.0209	0.0509	0.09	0.0412	
Global			0.0493	0.2163	0.1757	
