loci	Harmonic_N	H_st_est	D_st_est	G_st_est	G_hed_st_est	D_Jost_est	
Locus1	43.1218	0.0482	0.016	0.0234	0.0799	0.0578	
Locus2	43.5209	-0.0038	-0.0019	-0.0038	-0.0084	-0.0046	
Locus3	43.6403	0.361	0.0566	0.0629	0.4688	0.4332	
Locus4	43.4476	0.07	0.0225	0.0321	0.1134	0.084	
Locus5	42.7674	0.1998	0.0177	0.0191	0.2542	0.2397	
Locus6	43.4476	0.1201	0.0228	0.0274	0.1675	0.1441	
Locus7	43.4476	0.0382	0.0142	0.0221	0.067	0.0459	
Locus8	43.2566	0.0224	0.0168	0.0632	0.0884	0.0268	
Locus9	43.0673	0.2703	0.0153	0.016	0.3352	0.3244	
Locus10	43.2469	0.3237	0.0439	0.0483	0.4181	0.3885	
Locus11	41.9498	0.0339	0.0075	0.0095	0.0499	0.0407	
Locus12	41.523	0.3824	0.033	0.0349	0.4777	0.4589	
Locus13	41.1023	0.3815	0.1037	0.1247	0.5254	0.4578	
Locus14	41.0473	0.1793	0.0231	0.0258	0.2355	0.2152	
Locus15	41.8363	0.0617	0.0279	0.0485	0.1189	0.074	
Locus16	41.514	0.4234	0.0754	0.084	0.5494	0.508	
Locus17	41.8363	0.0483	0.0176	0.027	0.0833	0.0579	
Locus18	41.6623	0.3062	0.0211	0.0222	0.3815	0.3675	
Locus19	41.7717	0.3337	0.0285	0.0302	0.4186	0.4005	
Locus20	41.2763	0.2971	0.0265	0.0283	0.3747	0.3565	
Locus21	41.9498	0.0831	0.0256	0.0357	0.1319	0.0997	
Locus22	42.43	0.1773	0.022	0.0245	0.232	0.2127	
Locus23	41.6981	0.2854	0.0771	0.0955	0.4054	0.3425	
Locus24	42.1315	0.1879	0.044	0.0543	0.2675	0.2254	
Locus25	42.8605	0.1413	0.048	0.0678	0.2259	0.1696	
Locus26	42.2478	0.0568	0.0264	0.047	0.112	0.0681	
Locus27	41.3599	0.134	0.0238	0.0281	0.1844	0.1608	
Locus28	42.304	0.0468	0.0245	0.0489	0.1023	0.0561	
Locus29	42.6898	0.206	0.0232	0.0255	0.2664	0.2472	
Locus30	40.2685	0.1275	0.0282	0.0349	0.1826	0.1531	
Locus31	41.9982	0.3393	0.0303	0.0322	0.4263	0.4072	
Locus32	41.2174	0.625	0.0235	0.0238	0.756	0.75	
Locus33	41.4815	0.3389	0.0243	0.0255	0.4218	0.4067	
Locus34	40.4813	0.2607	0.0676	0.0836	0.3703	0.3128	
Locus35	42.6898	0.0395	0.0182	0.0326	0.0785	0.0474	
Locus36	42.3511	0.1478	0.0305	0.037	0.2079	0.1774	
Locus37	42.1213	0.0281	0.017	0.0413	0.0736	0.0337	
Global				0.0397	0.1806	0.1462	
